Test,Statistic,p_value
Jarque-Bera normality,0.09971737786167786,0.9513638532456188
Ljung-Box autocorrelation lag 1,0.4136812501546377,0.5201069371209439
Ljung-Box autocorrelation lag 2,0.9146506090451748,0.6329743971334232
Ljung-Box autocorrelation lag 3,1.283171204053721,0.733133067022699
ARCH heteroskedasticity,4.687043424010553,0.4552540637453679
