Test,Statistic,p_value
Jarque-Bera normality,0.09971737786173708,0.9513638532455907
Ljung-Box autocorrelation lag 1,0.4136812501546402,0.5201069371209428
Ljung-Box autocorrelation lag 2,0.9146506090452247,0.6329743971334074
Ljung-Box autocorrelation lag 3,1.2831712040537733,0.7331330670226868
Breusch-Pagan heteroskedasticity LM,8.4004478818391,0.7531063148600086
Breusch-Pagan heteroskedasticity F,0.5060647312675689,0.8738415490607756
