year,lide,frazer,change_instab,gdp,open_services,ce,d_frazer,ce_lag
1996,19.69434937263598,5.66,0.769526937457754,1.1107317972959263,12.081366193783714,-0.03763005490889526,-0.03000000000000025,
1997,20.799615580166925,5.65,0.339566872732211,2.2372492774261445,12.542440546876469,0.836115265988969,-0.009999999999999787,-0.03763005490889526
1998,19.547582421082925,5.7,2.6646986262260475,3.503265996431409,11.991740754545845,-0.9369430278741682,0.04999999999999982,0.836115265988969
2000,20.53328381355784,5.72,0.0023277696860612,3.3005389958994584,12.871254437473825,0.31484682955889554,0.019999999999999574,-0.9369430278741682
2001,19.18784946435944,5.82,1.3305210761423103,3.910229927580943,13.675468019245487,-1.6405499703941757,0.10000000000000053,0.31484682955889554
2002,21.710469728706336,5.74,0.9696913528694616,2.1877336904009894,15.883700117752149,1.5421516378187512,-0.08000000000000007,-1.6405499703941757
2003,19.80995815136223,5.82,4.044147342831361,1.026497573275222,16.648686068646366,-1.2295451901723595,0.08000000000000007,1.5421516378187512
2004,21.5262982810356,5.91,0.4513703881044439,1.0875365474680052,16.65587487611142,0.7594193411351959,0.08999999999999986,-1.2295451901723595
2005,20.45380867726529,6.04,0.7516012384659487,2.470482604996093,17.34294797617689,-0.7478975607942999,0.1299999999999999,0.7594193411351959
2006,20.67173356663797,6.08,1.7448481974611465,1.895414108591979,19.03981543024204,-0.4144157780828124,0.040000000000000036,-0.7478975607942999
2007,21.710752877622205,6.13,2.747977165401993,5.817648496700073,20.886588174585764,-0.1994205194181724,0.04999999999999982,-0.4144157780828124
2008,21.66269480325919,6.13,0.468125649849882,14.437514437514436,22.405274981430377,-1.0456647503088838,0.0,-0.1994205194181724
2009,21.60813194701978,6.23,0.8831916842420462,0.7468712151796524,21.58625975114808,0.16600329174583095,0.10000000000000053,-1.0456647503088838
2010,21.621848705972557,6.29,0.2516728051992212,-11.336986575836503,21.482964575914853,1.8140885282177237,0.05999999999999961,0.16600329174583095
2011,21.037616617006563,6.36,1.42083965710047,2.06521962654098,21.91788122657173,-0.5299258109232952,0.07000000000000028,1.8140885282177237
2012,21.45368953424169,6.29,4.596370679973127,7.022356946176188,22.23231851064752,-0.46015856826779,-0.07000000000000028,-0.5299258109232952
2013,21.461324239726828,6.35,2.499450915176593,1.0122184123046054,21.95961986712583,-0.04560860415286072,0.05999999999999961,-0.46015856826779
2014,21.89048647873932,6.41,2.1725187555054704,9.577098323548157,18.94244872250584,-0.19441659909045228,0.0600000000000005,-0.04560860415286072
2015,21.86562384189187,6.42,1.7076086235234822,7.187027775379676,21.076178051660097,0.022694630185679188,0.009999999999999787,-0.19441659909045228
2016,21.529746167089108,6.45,0.0710378231883579,4.910371765362356,20.456229408750204,0.09855003094369863,0.03000000000000025,0.022694630185679188
2017,21.20937039771732,6.52,0.2501127229660449,3.008443587527438,21.322082557373232,-0.28663890588520147,0.0699999999999994,0.09855003094369863
2018,21.39219716624724,6.55,2.2099724327440784,-3.2061832381321267,22.90086076138526,0.39922691247319264,0.03000000000000025,-0.28663890588520147
2019,21.797035418427186,6.56,0.331541430258786,5.697901211929263,22.888373852525724,0.0160097081219277,0.009999999999999787,0.39922691247319264
2020,21.030206270961585,6.37,0.7881851568882992,7.120889519753959,22.482710144472197,-0.1128899708352833,-0.1899999999999995,0.0160097081219277
2021,20.832371331409107,6.41,0.7895870462464094,-13.23910482921083,17.310583527083764,1.8161330869948706,0.040000000000000036,-0.1128899708352833
2022,21.27670257380512,6.4,1.3605696945783174,22.232215585120827,16.89087437350189,-1.6665450590466442,-0.009999999999999787,1.8161330869948706
2023,21.09599423193235,6.38,1.5731844497141934,11.266295519860051,24.97066600307757,-1.593952191112166,-0.020000000000000462,-1.6665450590466442
2024,20.560445685615303,6.42,3.154513712305307,5.443950888400877,26.28743855597816,-2.000460024111458,0.040000000000000036,-1.593952191112166
